VALUE,EVT_NAME,LFRDB,EVT_FUEL,EVT_Fuel_N,EVT_LF,EVT_PHYS,EVT_GP,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,R,G,B,RED,GREEN,BLUE
-9999,Fill-NoData,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,255,255,1,1,1
4401,Alaska Arctic Coastal Sedge-Dwarf-Shrubland,4401,2701,Sh Alaska Arctic Coastal Sedge-Dwarf-Shrubland,Shrub,Shrubland,762,Dwarf Shrubland,LF 40: Sedge Meadow,Shrub-dominated,Dwarf Shrubland,Deciduous,255,205,112,1,0.803922,0.439216
4402,Alaska Arctic Floodplain Forest,4402,2715,Sh Alaska Arctic Floodplain,Tree,Riparian,763,Floodplain Forest and Shrubland,SAF 203: Balsam Poplar,Shrub-dominated,Shrubland,Deciduous shrubland,18,76,135,0.070588,0.298039,0.529412
4403,Alaska Arctic Large River Floodplain Forest,4403,2714,Tr Alaska Arctic Large River Floodplain,Tree,Riparian,763,Floodplain Forest and Shrubland,SAF 203: Balsam Poplar,Shrub-dominated,Shrubland,Deciduous shrubland,18,76,135,0.070588,0.298039,0.529412
4404,Alaska Arctic Mesic Alder Shrubland,4404,2638,Sh Alaska Arctic Mesic Alder Shrubland,Shrub,Shrubland,750,Alder Shrubland,SRM 901: Alder,Shrub-dominated,Shrubland,Deciduous shrubland,146,237,224,0.572549,0.929412,0.878431
4405,Alaska Arctic Permafrost Plateau Dwarf-Shrub Lichen Tundra,4405,2704,Sh Alaska Arctic Permafrost Plateau Dwarf-Shrub Lichen Tundra,Shrub,Shrubland,775,Shrub Tundra,SRM 911: Lichen Tundra,Shrub-dominated,Dwarf Shrubland,Deciduous,255,37,13,1,0.145098,0.05098
4406,Alaska Arctic Tidal Flat,4406,2710,Sps Alaska Arctic Tidal Flat,Sparse,Sparsely Vegetated,779,Tidal Flat,LF 50: Tidal Flats and Marshes,No dominant lifeform,Sparsely Vegetated,Sparsely vegetated,255,153,10,1,0.6,0.039216
4407,Alaska Sub-boreal and Maritime Alpine Mesic Herbaceous Meadow,4407,2645,He Alaska Sub-boreal and Maritime Alpine Mesic Herbaceous Meadow,Herb,Grassland,767,Herbaceous Meadow,SRM 902: Alpine Herb,Herbaceous / Nonvascular-dominated,Herbaceous - forbland,Perennial forb,255,211,119,1,0.827451,0.466667
4408,Alaska Sub-boreal Mesic Subalpine Alder Shrubland,4408,4408,Sh Alaska Sub-boreal Mesic Subalpine Alder Shrubland,Shrub,Shrubland,752,Avalanche Slope Shrubland,SRM 901: Alder,Shrub-dominated,Shrubland,Deciduous shrubland,146,237,224,0.572549,0.929412,0.878431
4409,Alaska Sub-boreal Mountain Hemlock-White Spruce Forest,4409,2678,Tr Alaska Sub-boreal Mountain Hemlock-White Spruce Forest,Tree,Conifer,784,White Spruce Forest and Woodland,SAF 201: White Spruce,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,182,250,227,0.713725,0.980392,0.890196
4410,Alaska Sub-boreal White-Lutz Spruce Forest and Woodland,4410,2677,Tr Alaska Sub-boreal White-Lutz Spruce Forest and Woodland,Tree,Conifer,784,White Spruce Forest and Woodland,SAF 201: White Spruce,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,182,250,227,0.713725,0.980392,0.890196
4411,Alaskan Pacific Acidic Shrub Peatland,4411,4411,Sh Alaskan Pacific Acidic Shrub-Sedge Peatland,Shrub,Riparian,773,Shrub and Herbaceous Peatlands,LF 71: Shrub and Herbaceous Peatlands,Shrub-dominated,Shrubland,Deciduous,133,39,8,0.521569,0.152941,0.031373
