Wavelength (nm)	Dilution Corrected Absorbance
230	2.014093
233	1.930597
236	1.866957
239	1.813532
242	1.770381
245	1.737923
248	1.712454
251	1.688466
254	1.663839
257	1.635465
260	1.60179
263	1.560977
266	1.513998
269	1.46253
272	1.404199
275	1.342135
278	1.276625
281	1.202681
284	1.127114
287	1.04654
290	0.9957418
293	0.9355994
296	0.882786
299	0.8342408
302	0.7914239
305	0.7532533
308	0.7197329
311	0.6895082
314	0.6599799
317	0.6329617
320	0.6065534
323	0.5799562
326	0.5540214
329	0.5296444
332	0.504941
335	0.4814605
338	0.4586486
341	0.4365463
344	0.4161408
347	0.3973396
350	0.3800598
353	0.3631826
356	0.3474938
359	0.332396
362	0.316883
365	0.3012101
368	0.2847869
371	0.2672614
374	0.2494605
377	0.232343
380	0.2162146
383	0.2018758
386	0.1878886
389	0.1752778
392	0.164506
395	0.1538182
398	0.1454897
401	0.137068
404	0.1294037
407	0.1225645
410	0.1158581
413	0.1092349
416	0.1035639
419	0.09830824
422	0.09332384
425	0.08887353
428	0.0847781
431	0.08070133
434	0.07710446
437	0.0734375
440	0.07031637
443	0.0672325
446	0.06431775
449	0.06133331
452	0.05900882
455	0.05668243
458	0.05450989
461	0.05265721
464	0.05055758
467	0.04901807
470	0.04727237
473	0.04561508
476	0.04375238
479	0.04167664
482	0.04009301
485	0.03855316
488	0.0371461
491	0.03555217
494	0.03432801
497	0.0330744
500	0.03166308
503	0.03014082
506	0.0292891
509	0.02793043
512	0.02695647
515	0.0258897
518	0.02490433
521	0.02388521
524	0.02311743
527	0.02233506
530	0.02149068
533	0.02054387
536	0.02004572
539	0.01933601
542	0.01821707
545	0.01792318
548	0.01725388
551	0.01672034
554	0.01622383
557	0.01557163
560	0.01509869
563	0.01462375
566	0.01426527
569	0.01398021
572	0.01362181
575	0.01312941
578	0.01257758
581	0.01227475
584	0.0118745
587	0.0115799
590	0.01119589
593	0.0111197
596	0.01088691
599	0.01059957
602	0.01037955
605	0.01018506
608	0.009897586
611	0.009634681
614	0.009353578
617	0.00924957
620	0.008944195
623	0.008829325
626	0.008855676
629	0.008466341
632	0.008155985
635	0.007856991
638	0.007904706
641	0.007851299
644	0.007501397
647	0.007460147
650	0.006858608
653	0.005986045
656	0.00566187
659	0.005761246
662	0.005694382
665	0.005698544
668	0.005580806
671	0.005450548
674	0.005550686
677	0.005477281
680	0.005535581
683	0.004980867
686	0.005170513
689	0.004874028
692	0.005019762
695	0.004995792
698	0.005164501
701	0.005032241
704	0.005077983
707	0.005167003
710	0.004541082
713	0.003211505
716	0.002958674
719	0.002568056
722	0.00287135
725	0.003526626
728	0.004332157
731	0.00481562
734	0.004784753
737	0.004835149
740	0.004316746
743	0.004391324
746	0.00412215
749	0.004081342
752	0.003991791
755	0.00418165
758	0.003741613
761	0.00348077
764	0.003038693
767	0.0030188
770	0.003264636
773	0.002908683
776	0.002368639
779	0.003217152
782	0.003181522
785	0.00313867
788	0.001989608
791	0.001827503
794	0.002209154
797	0.001713951
800	0.002318615
