Wavelength (nm)	Dilution Corrected Absorbance
230	1.882476
233	1.730882
236	1.617393
239	1.530196
242	1.463575
245	1.417399
248	1.386414
251	1.362133
254	1.343505
257	1.326776
260	1.309167
263	1.289957
266	1.265012
269	1.236038
272	1.200463
275	1.159048
278	1.112326
281	1.053345
284	0.9888511
287	0.9122589
290	0.8731904
293	0.8210661
296	0.7711883
299	0.7204976
302	0.6725019
305	0.6276799
308	0.5880337
311	0.5527963
314	0.5192725
317	0.4898294
320	0.460811
323	0.4323463
326	0.4049017
329	0.3795388
332	0.3550262
335	0.332529
338	0.3108721
341	0.2900366
344	0.2707913
347	0.2531044
350	0.2376493
353	0.2225461
356	0.2087799
359	0.1962881
362	0.1838507
365	0.1720721
368	0.1603833
371	0.1492331
374	0.1380675
377	0.127936
380	0.1191949
383	0.1111192
386	0.1034221
389	0.09634316
392	0.08980646
395	0.0843098
398	0.07945906
401	0.07497386
404	0.07056118
407	0.06678947
410	0.06332103
413	0.06019653
416	0.0573956
419	0.05465179
422	0.05234477
425	0.0507855
428	0.04911651
431	0.04739479
434	0.04612447
437	0.04463145
440	0.04296122
443	0.04140525
446	0.03989024
449	0.03878201
452	0.03808042
455	0.03801565
458	0.03808818
461	0.03789349
464	0.03735283
467	0.03648664
470	0.03590337
473	0.03553379
476	0.03545291
479	0.03409191
482	0.03337144
485	0.03326516
488	0.03277422
491	0.03205374
494	0.03178159
497	0.03105087
500	0.03075479
503	0.03018943
506	0.02984723
509	0.02953015
512	0.0294017
515	0.0289396
518	0.02872494
521	0.02862273
524	0.02825683
527	0.02826742
530	0.02816453
533	0.0282347
536	0.02817446
539	0.02812023
542	0.0280036
545	0.0281151
548	0.0286666
551	0.02833634
554	0.0284973
557	0.02849953
560	0.02891765
563	0.0288921
566	0.02892081
569	0.02882649
572	0.02881611
575	0.02883567
578	0.0289862
581	0.02923098
584	0.02940364
587	0.02942014
590	0.02944963
593	0.02975231
596	0.02999011
599	0.02968231
602	0.0297918
605	0.02967284
608	0.02964205
611	0.03006183
614	0.03042454
617	0.03085445
620	0.03098128
623	0.03056076
626	0.030322
629	0.03055349
632	0.03084005
635	0.03164583
638	0.03128924
641	0.03110251
644	0.03097107
647	0.03099698
650	0.03148795
653	0.03176979
656	0.03157239
659	0.0312759
662	0.03051634
665	0.03104635
668	0.03216506
671	0.03231867
674	0.03197646
677	0.03113967
680	0.03055408
683	0.03084145
686	0.03117016
689	0.03215364
692	0.03070404
695	0.02916366
698	0.02868545
701	0.02964472
704	0.03076377
707	0.03145347
710	0.03007299
713	0.02771651
716	0.0250996
719	0.02367183
722	0.02420471
725	0.02592162
728	0.02776924
731	0.02829028
734	0.02760839
737	0.02668885
740	0.02558292
743	0.02523295
746	0.02546404
749	0.02495986
752	0.02513803
755	0.02525178
758	0.02617882
761	0.02745299
764	0.02724815
767	0.02766936
770	0.02881311
773	0.02899617
776	0.03077751
779	0.03183811
782	0.03165853
785	0.03062845
788	0.030891
791	0.03170575
794	0.03216253
797	0.03285783
800	0.03266429
