kit_id,transect_location,latitude,longitude
K001,Water,41.6228,-83.2362
K001,Sediment,41.6228,-83.2362
K001,Wetland,41.62182,-83.23883
K001,Transition,41.62186,-83.23813
K001,Upland,41.61511,-83.22979
K004,Water,41.502,-83.0435
K004,Sediment,41.502,-83.0435
K004,Wetland,41.5018,-83.0443
K004,Transition,41.5018,-83.0456
K004,Upland,41.5015,-83.0462
K007,Water,41.3771,-82.5102
K007,Sediment,41.3771,-82.5102
K007,Wetland,41.3759,-82.50713
K007,Transition,41.37591,-82.5064
K007,Upland,41.3762,-82.50666
K008,Water,41.3824,-82.5147
K008,Sediment,41.3824,-82.5147
K008,Wetland,41.3826,-82.5148
K008,Transition,41.3827,-82.515
K008,Upland,41.3827,-82.515
K009,Water,41.3754,-82.5164
K009,Sediment,41.3754,-82.5164
K009,Wetland,41.3746,-82.5167
K009,Transition,41.3745,-82.5169
K009,Upland,41.3747,-82.517
K010,Water,41.3734,-82.5091
K010,Sediment,41.3733,-82.5092
K010,Wetland,41.3731,-82.5083
K010,Transition,41.3731,-82.5076
K010,Upland,41.3732,-82.5075
K011,Water,41.3772,-82.51
K011,Sediment,41.3772,-82.51
K011,Wetland,41.3765,-82.5081
K011,Transition,41.3765,-82.5081
K011,Upland,41.3865,-82.5082
K012,Water,43.5831,-83.688
K012,Sediment,43.5831,-83.688
K012,Wetland,43.583,-83.6882
K012,Transition,NA,NA
K012,Upland,NA,NA
K013,Water,43.9688,-83.8603
K013,Sediment,43.9688,-83.8603
K013,Wetland,43.9687,-83.8619
K013,Transition,43.9687,-83.862
K013,Upland,43.9687,-83.8621
K014,Water,39.6696,-75.4661
K014,Sediment,39.6699,-75.4661
K014,Wetland,NA,NA
K014,Transition,NA,NA
K014,Upland,NA,NA
K015,Water,37.4147,-76.7161
K015,Sediment,37.4147,-76.7161
K015,Wetland,37.4144,-76.7153
K015,Transition,37.4142,-76.715
K015,Upland,37.4142,-76.715
K016,Water,37.3044,-76.5539
K016,Sediment,37.3044,-76.5539
K016,Wetland,37.3045,-76.5536
K016,Transition,37.3047,-76.553
K016,Upland,37.3047,-76.5529
K017,Water,37.5678,-76.8867
K017,Sediment,37.5678,-76.8867
K017,Wetland,37.5687,-76.8869
K017,Transition,37.5687,-76.8871
K017,Upland,37.5687,-76.887200000000007
K018,Water,37.2192,-76.4136
K018,Sediment,37.2192,-76.4136
K018,Wetland,37.2192,-76.4136
K018,Transition,37.2197,-76.4133
K018,Upland,37.22,-76.4128
K019,Water,46.6533,-92.2266
K019,Sediment,46.6532,-92.2266
K019,Wetland,46.6534,-92.2267
K019,Transition,46.6536,-92.2269
K019,Upland,46.6536,-92.2268
K020,Water,46.8143,-92.0515
K020,Sediment,NA,NA
K020,Wetland,NA,NA
K020,Transition,NA,NA
K020,Upland,46.8145,-92.0515
K021,Water,41.6056,-83.1526
K021,Sediment,41.6056,-83.1526
